id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us/state:tx/county:bee,Bee County,,,,place-48025,,,,,,,
ocd-division/country:us/state:tx/county:bell,Bell County,,,,place-48027,,,,,,,
ocd-division/country:us/state:tx/county:bexar,Bexar County,,,,place-48029,,,,,,,
ocd-division/country:us/state:tx/county:blanco,Blanco County,,,,place-48031,,,,,,,
ocd-division/country:us/state:tx/county:borden,Borden County,,,,place-48033,,,,,,,
ocd-division/country:us/state:tx/county:bosque,Bosque County,,,,place-48035,,,,,,,
ocd-division/country:us/state:tx/county:bowie,Bowie County,,,,place-48037,,,,,,,
ocd-division/country:us/state:tx/county:brazoria,Brazoria County,,,,place-48039,,,,,,,
ocd-division/country:us/state:tx/county:brazos,Brazos County,,,,place-48041,,,,,,,
ocd-division/country:us/state:tx/county:brewster,Brewster County,,,,place-48043,,,,,,,
ocd-division/country:us/state:tx/county:briscoe,Briscoe County,,,,place-48045,,,,,,,
ocd-division/country:us/state:tx/county:brooks,Brooks County,,,,place-48047,,,,,,,
ocd-division/country:us/state:tx/county:brown,Brown County,,,,place-48049,,,,,,,
ocd-division/country:us/state:tx/county:burleson,Burleson County,,,,place-48051,,,,,,,
ocd-division/country:us/state:tx/county:burnet,Burnet County,,,,place-48053,,,,,,,
ocd-division/country:us/state:tx/county:caldwell,Caldwell County,,,,place-48055,,,,,,,
ocd-division/country:us/state:tx/county:calhoun,Calhoun County,,,,place-48057,,,,,,,
ocd-division/country:us/state:tx/county:callahan,Callahan County,,,,place-48059,,,,,,,
ocd-division/country:us/state:tx/county:cameron,Cameron County,,,,place-48061,,,,,,,
ocd-division/country:us/state:tx/county:camp,Camp County,,,,place-48063,,,,,,,
ocd-division/country:us/state:tx/county:carson,Carson County,,,,place-48065,,,,,,,
ocd-division/country:us/state:tx/county:cass,Cass County,,,,place-48067,,,,,,,
ocd-division/country:us/state:tx/county:castro,Castro County,,,,place-48069,,,,,,,
ocd-division/country:us/state:tx/county:chambers,Chambers County,,,,place-48071,,,,,,,
ocd-division/country:us/state:tx/county:cherokee,Cherokee County,,,,place-48073,,,,,,,
ocd-division/country:us/state:tx/county:childress,Childress County,,,,place-48075,,,,,,,
ocd-division/country:us/state:tx/county:clay,Clay County,,,,place-48077,,,,,,,
ocd-division/country:us/state:tx/county:cochran,Cochran County,,,,place-48079,,,,,,,
ocd-division/country:us/state:tx/county:coke,Coke County,,,,place-48081,,,,,,,
ocd-division/country:us/state:tx/county:coleman,Coleman County,,,,place-48083,,,,,,,
ocd-division/country:us/state:tx/county:collin,Collin County,,,,place-48085,,,,,,,
ocd-division/country:us/state:tx/county:collingsworth,Collingsworth County,,,,place-48087,,,,,,,
ocd-division/country:us/state:tx/county:colorado,Colorado County,,,,place-48089,,,,,,,
ocd-division/country:us/state:tx/county:comal,Comal County,,,,place-48091,,,,,,,
ocd-division/country:us/state:tx/county:comanche,Comanche County,,,,place-48093,,,,,,,
ocd-division/country:us/state:tx/county:concho,Concho County,,,,place-48095,,,,,,,
ocd-division/country:us/state:tx/county:cooke,Cooke County,,,,place-48097,,,,,,,
ocd-division/country:us/state:tx/county:coryell,Coryell County,,,,place-48099,,,,,,,
ocd-division/country:us/state:tx/county:cottle,Cottle County,,,,place-48101,,,,,,,
ocd-division/country:us/state:tx/county:crane,Crane County,,,,place-48103,,,,,,,
ocd-division/country:us/state:tx/county:crockett,Crockett County,,,,place-48105,,,,,,,
ocd-division/country:us/state:tx/county:crosby,Crosby County,,,,place-48107,,,,,,,
ocd-division/country:us/state:tx/county:culberson,Culberson County,,,,place-48109,,,,,,,
ocd-division/country:us/state:tx/county:dallam,Dallam County,,,,place-48111,,,,,,,
ocd-division/country:us/state:tx/county:dallas,Dallas County,,,,place-48113,,,,,,,
ocd-division/country:us/state:tx/county:dawson,Dawson County,,,,place-48115,,,,,,,
ocd-division/country:us/state:tx/county:deaf_smith,Deaf Smith County,,,,place-48117,,,,,,,
ocd-division/country:us/state:tx/county:delta,Delta County,,,,place-48119,,,,,,,
ocd-division/country:us/state:tx/county:anderson/school_district:cayuga_isd,cayuga isd,,,,4813200,,,,,001902,,
ocd-division/country:us/state:tx/county:anderson/school_district:elkhart_isd,elkhart isd,,,,4818390,,,,,001903,,
ocd-division/country:us/state:tx/county:anderson/school_district:frankston_isd,frankston isd,,,,4819770,,,,,001904,,
ocd-division/country:us/state:tx/county:anderson/school_district:neches_isd,neches isd,,,,4832250,,,,,001906,,
ocd-division/country:us/state:tx/county:anderson/school_district:palestine_isd,palestine isd,,,,4834050,,,,,001907,,
ocd-division/country:us/state:tx/county:anderson/school_district:slocum_isd,slocum isd,,,,4840500,,,,,001909,,
ocd-division/country:us/state:tx/county:anderson/school_district:westwood_isd,westwood isd,,,,4843290,,,,,001908,,
ocd-division/country:us/state:tx/county:andrews/school_district:andrews_isd,andrews isd,,,,4808280,,,,,002901,,
ocd-division/country:us/state:tx/county:angelina/school_district:central_isd,central isd,,,,4813500,,,,,003907,,
ocd-division/country:us/state:tx/county:angelina/school_district:diboll_isd,diboll isd,,,,4817040,,,,,003905,,
ocd-division/country:us/state:tx/county:angelina/school_district:hudson_isd,hudson isd,,,,4823790,,,,,003902,,
ocd-division/country:us/state:tx/county:angelina/school_district:huntington_isd,huntington isd,,,,4824000,,,,,003904,,
ocd-division/country:us/state:tx/county:angelina/school_district:lufkin_isd,lufkin isd,,,,4828550,,,,,003903,,
ocd-division/country:us/state:tx/county:angelina/school_district:pineywoods_community_academy,pineywoods community academy,,,,4800074,,,,,003801,,
ocd-division/country:us/state:tx/county:angelina/school_district:zavalla_isd,zavalla isd,,,,4846740,,,,,003906,,
